SolomonPesant/rc201.0 |   sequence |       open |     714.21 |       0.00 | 2 11 1 23 15 19 6 5 8 9 18 21 20 24 3 12 13 4 22 17 14 10 7 16 25 | seed: -7463340668912779396 | 83
SolomonPesant/rc201.0 |   sequence |       open |     693.90 |       0.00 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -752303295475872321 | 78
SolomonPesant/rc201.0 |   sequence |       open |     738.65 |       0.00 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 22 4 17 14 10 7 16 25 | seed: 333434733006767839 | 97
SolomonPesant/rc201.0 |   sequence |       open |     701.94 |       0.00 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 7 17 14 10 16 25 | seed: -8856325670129132036 | 90
SolomonPesant/rc201.0 |   sequence |       open |     698.11 |       0.00 | 11 2 1 23 15 19 6 9 8 5 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -2050185082004505330 | 86
SolomonPesant/rc201.1 |   sequence |       open |     735.98 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: -2777639855368458029 | 28
SolomonPesant/rc201.1 |   sequence |       open |     726.86 |       0.00 | 19 17 1 11 14 23 18 3 7 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: -2046011995128833939 | 3
SolomonPesant/rc201.1 |   sequence |       open |     735.98 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: -3311939529004552989 | 27
SolomonPesant/rc201.1 |   sequence |       open |     735.98 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: -29552523473974363 | 4
SolomonPesant/rc201.1 |   sequence |       open |     735.98 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: 8448353033233398617 | 38
SolomonPesant/rc201.1 |   sequence |       open |     739.23 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 22 27 | seed: 380848457660560279 | 37
SolomonPesant/rc201.1 |   sequence |       open |     734.69 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 24 25 12 4 20 16 28 15 9 10 8 26 27 22 | seed: 8762963752223124265 | 32
SolomonPesant/rc201.1 |   sequence |       open |     735.98 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: -3423043702465206899 | 44
SolomonPesant/rc201.1 |   sequence |       open |     732.97 |       0.00 | 19 17 1 11 14 23 18 7 5 3 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: 4302001001062445714 | 53
SolomonPesant/rc201.1 |   sequence |       open |     707.31 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 13 21 25 24 12 6 4 16 20 28 15 9 10 8 26 27 22 | seed: 6017753757604104692 | 5
SolomonPesant/rc201.1 |   sequence |       open |     735.98 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: -1019131930681070525 | 24
SolomonPesant/rc201.1 |   sequence |       open |     776.28 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 9 10 15 8 26 27 22 | seed: -5735867527757442693 | 33
SolomonPesant/rc201.1 |   sequence |       open |     735.98 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: -606156018432087099 | 13
SolomonPesant/rc201.1 |   sequence |       open |     735.98 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: 4313192949873246936 | 41
SolomonPesant/rc201.1 |   sequence |       open |     735.98 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: -8571961549395061175 | 1
SolomonPesant/rc201.1 |   sequence |       open |     735.98 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: -2231031364712463449 | 22
SolomonPesant/rc201.1 |   sequence |       open |     735.98 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: 6536993319824655531 | 19
SolomonPesant/rc201.1 |   sequence |       open |     735.98 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: 2124259143568797326 | 8
SolomonPesant/rc201.1 |   sequence |       open |     741.12 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 16 20 28 15 9 10 8 26 22 27 | seed: -6668789555018073773 | 40
SolomonPesant/rc201.1 |   sequence |       open |     726.86 |       0.00 | 19 17 1 11 14 23 18 3 7 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: -485364485657115911 | 2
SolomonPesant/rc201.1 |   sequence |       open |     735.98 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: 41527978478411087 | 14
SolomonPesant/rc201.1 |   sequence |       open |     739.23 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 22 27 | seed: 8156053108938106061 | 31
SolomonPesant/rc201.1 |   sequence |       open |     735.98 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: -4393410943528781930 | 36
SolomonPesant/rc201.1 |   sequence |       open |     736.58 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 24 25 12 4 16 20 28 15 9 10 8 26 27 22 | seed: -2980618340600743170 | 45
SolomonPesant/rc201.1 |   sequence |       open |     726.86 |       0.00 | 19 17 1 11 14 23 18 3 7 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: 5114390489493461929 | 35
SolomonPesant/rc201.1 |   sequence |       open |     767.16 |       0.00 | 19 17 1 11 14 23 18 3 7 5 2 13 21 6 25 24 12 4 20 16 28 9 10 15 8 26 27 22 | seed: 1662977104466364149 | 15
SolomonPesant/rc201.1 |   sequence |       open |     725.42 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 21 6 13 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: 6532212622170303185 | 12
SolomonPesant/rc201.1 |   sequence |       open |     735.98 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: -4924544886480499730 | 26
SolomonPesant/rc201.1 |   sequence |       open |     735.98 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: -9020995163697732445 | 42
SolomonPesant/rc201.1 |   sequence |       open |     725.42 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 21 6 13 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: 6816714495433686276 | 11
SolomonPesant/rc201.1 |   sequence |       open |     726.86 |       0.00 | 19 17 1 11 14 23 18 3 7 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: 7938798918982547809 | 29
SolomonPesant/rc201.1 |   sequence |       open |     735.98 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: -4624814073935955652 | 30
SolomonPesant/rc201.1 |   sequence |       open |     735.98 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: -2525432045084872264 | 52
SolomonPesant/rc201.1 |   sequence |       open |     735.98 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: 6391017052177377297 | 49
