SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     724.10 |       0.00 | 21 13 23 10 9 12 5 6 8 16 19 25 1 17 18 24 2 11 7 4 3 14 20 22 15 | seed: 2021229032346250818 | 32
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     772.42 |       0.00 | 21 13 23 9 10 12 5 6 8 19 16 25 17 18 1 24 2 7 11 3 4 14 20 22 15 | seed: 9143387718062393406 | 33
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     725.60 |       0.00 | 21 13 9 23 10 12 5 6 8 16 19 25 17 1 18 24 2 7 11 4 3 14 20 22 15 | seed: 5571796029359154190 | 55
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     780.50 |       0.00 | 21 13 23 9 10 12 5 6 8 19 16 25 17 18 1 2 24 7 11 3 4 14 20 22 15 | seed: -1013638748984594606 | 2
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     772.42 |       0.00 | 21 13 23 9 10 12 5 6 8 19 16 25 17 18 1 24 2 7 11 3 4 14 20 22 15 | seed: 3688407277017653893 | 50
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     784.10 |       0.00 | 21 13 23 9 10 12 5 6 8 19 16 25 17 18 1 2 24 7 11 14 3 4 20 22 15 | seed: 4837480757962198988 | 38
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     743.50 |       0.00 | 13 23 21 9 10 12 5 6 8 16 19 25 17 1 18 24 2 7 11 3 4 14 20 22 15 | seed: -6822270297963023497 | 40
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     757.83 |       0.00 | 13 21 23 9 10 12 8 6 5 16 19 25 17 18 1 2 24 7 11 3 4 14 20 22 15 | seed: -5062711944570268257 | 28
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     749.63 |       0.00 | 21 13 23 9 10 12 6 5 8 16 19 25 17 1 18 24 2 7 11 3 4 14 20 22 15 | seed: 8924648538467660185 | 5
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     760.98 |       0.00 | 21 13 23 9 10 12 8 6 5 16 19 25 17 1 18 24 2 7 11 3 4 14 20 15 22 | seed: 599978530423265507 | 47
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     749.75 |       0.00 | 13 21 23 9 10 12 5 6 8 16 19 25 17 1 18 2 24 7 11 4 3 14 20 22 15 | seed: 7891931260439751891 | 9
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     739.92 |       0.00 | 21 13 23 10 9 12 8 6 5 16 19 25 17 18 1 24 2 7 11 4 3 14 20 22 15 | seed: 1137965831699002304 | 39
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     773.69 |       0.00 | 21 23 13 9 10 12 5 6 8 16 19 25 17 1 18 2 24 7 11 3 4 14 20 22 15 | seed: 8723093806168342071 | 4
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     756.01 |       0.00 | 21 23 13 9 10 12 5 6 8 16 19 25 17 18 1 2 24 7 11 3 4 14 20 22 15 | seed: -422726379356137624 | 37
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     772.42 |       0.00 | 21 13 23 9 10 12 5 6 8 19 16 25 17 18 1 24 2 7 11 3 4 14 20 22 15 | seed: -5794816683459633448 | 52
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     769.41 |       0.00 | 21 13 23 9 10 12 5 6 8 19 16 25 17 18 1 2 24 7 11 4 3 14 20 22 15 | seed: -854626940511197365 | 29
